City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,78.76,moderate rain,-23.12,-134.97,Pension Maro'i
9,Souillac,MU,80.6,light rain,-20.52,57.52,Bils' Villa
16,Saint-Pierre,RE,84.99,clear sky,-21.34,55.48,Lindsey Hôtel
18,Cap Malheureux,MU,82.99,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
27,Bathsheba,BB,77.0,scattered clouds,13.22,-59.52,Atlantis Hotel
29,Port Blair,IN,82.78,overcast clouds,11.67,92.75,Welcomhotel Bay Island Port Blair
30,Kruisfontein,ZA,80.01,scattered clouds,-34.0,24.73,Oyster Bay House Rental
33,Bambous Virieux,MU,82.99,light rain,-20.34,57.76,Casa Tia Villa
36,East London,ZA,77.0,clear sky,-33.02,27.91,Tu Casa
38,Butaritari,KI,82.08,broken clouds,3.07,172.79,Isles Sunset Lodge
41,Sambava,MG,81.9,moderate rain,-14.27,50.17,Melrose
45,Mahibadhoo,MV,82.67,clear sky,3.78,72.97,Omadhoo Inn
48,Quatre Cocos,MU,82.99,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
51,Asarganj,IN,78.24,clear sky,25.15,86.68,Bhagwan poddar ji.
55,Yagoua,CM,77.81,scattered clouds,10.34,15.23,HÔTEL LE PROGRÈS
58,Bambanglipuro,ID,81.66,overcast clouds,-7.95,110.28,Puri Brata
61,Rajampet,IN,80.6,haze,14.18,79.17,Maruthi Prasanna
63,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
68,Saint-Philippe,RE,84.99,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
80,Atambua,ID,81.72,moderate rain,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
94,Payakumbuh,ID,78.93,overcast clouds,-0.22,100.63,OYO 3114 Homestay Dalimo
106,Porto Novo,BJ,77.0,mist,6.5,2.6,Tour Eiffel Hotel Benin
119,Saint-Joseph,RE,84.99,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
120,Namatanai,PG,80.91,moderate rain,-3.67,152.43,Namatanai Hotel
126,Charters Towers,AU,79.39,overcast clouds,-20.1,146.27,Cattleman's Rest Motor Inn
127,Sidlaghatta,IN,78.8,scattered clouds,13.39,77.86,Sri Venkateshwara Wood Carving works
133,Vao,NC,77.41,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
135,Hithadhoo,MV,82.6,clear sky,-0.6,73.08,Scoop Guest House
144,Victoria,HK,75.0,clear sky,22.29,114.16,Mini Hotel Central
145,Esperance,AU,80.6,broken clouds,-33.87,121.9,Hospitality Esperance
148,Manokwari,ID,83.5,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
159,Port-Gentil,GA,78.8,light rain,-0.72,8.78,Fengshui Residence
161,Pingshan,CN,78.01,clear sky,22.99,114.71,Island Skylight Resort
163,Atuona,PF,78.57,clear sky,-9.8,-139.03,Villa Enata
167,Avarua,CK,77.0,broken clouds,-21.21,-159.78,Paradise Inn
168,Alyangula,AU,80.6,light rain,-13.85,136.42,Groote Eylandt Lodge
172,Mahebourg,MU,80.6,light rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
180,Faanui,PF,80.85,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
182,Manadhoo,MV,81.79,clear sky,5.77,73.38,Vevu Guesthouse
187,Marsabit,KE,75.07,broken clouds,2.33,37.99,Chicho Hotel
195,Salalah,OM,80.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
201,Japura,ID,83.7,moderate rain,-0.32,102.35,Rumah mbah Jamah
207,Padang,ID,83.5,overcast clouds,-0.95,100.35,Mercure Padang
208,Kudahuvadhoo,MV,83.03,clear sky,2.67,72.89,Kudahuvadhoo Retreat
212,Attur,IN,80.6,haze,11.6,78.62,எங்கவீட்டுப்பிள்ளை
222,Puri,IN,82.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
223,Coruripe,BR,75.06,overcast clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
233,Isangel,VU,84.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
234,Bengkulu,ID,84.52,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
235,Muli,MV,82.89,clear sky,2.92,73.57,Medhufushi Island Resort
243,Dingle,PH,82.98,broken clouds,11.0,122.67,SEGAYA PROPERTY
247,Alofi,NU,78.8,overcast clouds,-19.06,-169.92,Taloa Heights
253,Hervey Bay,AU,82.0,heavy intensity rain,-25.3,152.85,Shelly Bay Resort
263,Galesong,ID,78.8,light rain,-5.32,119.37,Sapriadi Appy
264,Morant Bay,JM,78.01,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
265,San Policarpo,PH,82.74,scattered clouds,12.18,125.51,JM Lodge
274,Lakatoro,VU,84.2,light rain,-16.1,167.42,Lakatoro Palm Lodge
284,Nedjo,ET,77.85,clear sky,9.5,35.5,Yerosan Hotel
299,Banda Aceh,ID,84.51,heavy intensity rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
312,Bandarbeyla,SO,78.24,scattered clouds,9.49,50.81,JABIR HOTEL
315,Port Keats,AU,84.78,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
322,Luanda,AO,80.6,scattered clouds,-8.84,13.23,EPIC SANA Luanda
331,Kalmunai,LK,82.71,scattered clouds,7.42,81.82,VS Villa
332,Haimen,CN,78.8,clear sky,23.19,116.61,Jinghao Business Hotel
336,Kribi,CM,82.45,light rain,2.95,9.92,Les Vagues bleues
337,Vanimo,PG,82.65,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
342,Veraval,IN,77.61,clear sky,20.9,70.37,Lords Inn Somnath
350,Iralaya,HN,76.15,light rain,15.0,-83.23,Iglesia morava renovada
352,Grand Baie,MU,82.99,scattered clouds,-20.02,57.58,Trou aux Biches Beachcomber Golf Resort & Spa
368,Moron,AR,75.99,overcast clouds,-34.65,-58.62,Hotel Morón
370,Maumere,ID,80.94,light rain,-8.62,122.21,Sylvia Hotel
371,Denpasar,ID,84.2,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
379,Buala,SB,81.73,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
381,Jieshi,CN,78.01,clear sky,22.81,115.83,Yuehai Hotel
383,Fare,PF,81.95,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
393,Katobu,ID,80.64,moderate rain,-4.94,122.53,La Ode Husein
399,Moree,AU,78.8,light rain,-29.47,149.85,Molika Springs Motel
401,Altos,BR,77.0,clear sky,-5.04,-42.46,Pousada Das Aguias
409,Labuhan,ID,82.42,light rain,-6.88,112.21,bador sepret
418,Boyolangu,ID,80.78,overcast clouds,-8.12,111.89,Yos ega cv
420,Ermelo,ZA,84.09,clear sky,-26.53,29.98,Zemira Guesthouse
429,Khartoum,SD,75.2,clear sky,15.55,32.53,Hotel China
438,Carmelo,UY,75.2,clear sky,-33.99,-58.29,Los Muelles Boutique Hotel
440,Hue,VN,80.6,few clouds,16.47,107.6,Saigon Morin Hotel
444,Gondanglegi,ID,79.45,light rain,-7.75,112.01,Gg. Munasir Homestay
448,Swan Hill,AU,81.43,clear sky,-35.34,143.55,Lazy River Motor Inn
450,Koumac,NC,82.02,few clouds,-20.57,164.28,Le Monitel
454,Bartica,GY,75.2,mist,6.4,-58.62,La Vista Hotel and Apartment
456,Cockburn Town,TC,76.59,overcast clouds,21.46,-71.14,Osprey Beach Hotel
459,Jatiroto,ID,81.05,light rain,-7.88,111.12,Mushola Al Huda
460,Harper,LR,79.68,light rain,4.38,-7.72,Screensaver
464,Pondicherry,IN,78.8,haze,11.93,79.83,Villa Shanti
469,Neiafu,TO,77.0,light rain,-18.65,-173.98,Mystic Sands
470,Bonoua,CI,80.6,few clouds,5.27,-3.6,Hotel Bon Samaritian
478,Buchanan,LR,75.2,mist,5.88,-10.05,Kamaneahn Hotel Inc
489,Hobyo,SO,82.42,light rain,5.35,48.53,Halane Hotel and Restaurent
491,Saint-Georges,GD,77.0,light rain,12.06,-61.75,Siesta Hotel
507,Akyab,MM,77.38,overcast clouds,20.15,92.9,Hotel Memory
510,Nsoko,SZ,82.4,clear sky,-27.03,31.95,KaMsholo Bushveld Safaris
514,Carutapera,BR,78.04,scattered clouds,-1.2,-46.02,Lidera
517,Broken Hill,AU,78.8,clear sky,-31.95,141.43,Daydream Motel & Cottages
523,Sibolga,ID,82.8,moderate rain,1.74,98.78,Hotel Syariah CN Darussalam
531,Alappuzha,IN,83.82,few clouds,9.49,76.33,Panoramic Sea Resort
536,Dubbo,AU,80.6,broken clouds,-32.25,148.62,Comfort Inn Blue Lagoon
539,Loandjili,CG,77.0,thunderstorm,-4.76,11.86,Résidence ARCHANGE
541,Tautira,PF,78.8,light rain,-17.73,-149.15,Pension Oaoa
542,Honiara,SB,78.8,moderate rain,-9.43,159.95,Heritage Park Hotel
547,Maroua,CM,78.4,clear sky,10.59,14.32,Maroua Palace
549,Poum,NC,81.63,clear sky,-20.23,164.02,Gîte kajeon
554,Santa Fe,AR,77.0,clear sky,-31.63,-60.7,Conquistador Hotel
555,Sinnamary,GF,77.31,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
558,Pandan,PH,82.31,clear sky,14.05,124.17,Bonifacio Lodge
560,Nabire,ID,82.24,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
562,Balabac,PH,83.44,broken clouds,7.99,117.06,Sing and Swing Lodge
567,Quelimane,MZ,80.6,broken clouds,-17.88,36.89,Hotel Flamingo
571,Gorontalo,ID,83.28,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
575,Wanning,CN,76.71,few clouds,18.8,110.4,Paradise Hotel
578,Catuday,PH,81.7,clear sky,16.29,119.81,GResort
579,Matara,LK,84.9,clear sky,5.95,80.54,Amaloh Boutique Resort
584,Yenagoa,NG,81.84,overcast clouds,4.92,6.26,Amba Hotels Limited
594,Sumbe,AO,78.8,broken clouds,-11.21,13.84,Hotel Ritz Sumbe
597,Upington,ZA,84.2,few clouds,-28.45,21.26,River Place Manor
600,Benalla,AU,84.2,clear sky,-36.55,145.98,Rose City Motor Inn
602,Tezu,IN,76.15,clear sky,27.92,96.17,Circuit House
605,Ternate,ID,83.98,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
606,Pindiga,NG,75.15,clear sky,9.98,10.93,Accommodation Center
608,Manicore,BR,77.0,few clouds,-5.81,-61.3,Pousada da wanda
612,Noumea,NC,84.2,scattered clouds,-22.28,166.46,Hôtel Le Lagon
614,Nambiyur,IN,82.4,haze,11.37,77.33,"Pavizham agencies, Timber shop"
615,Takoradi,GH,80.11,overcast clouds,4.88,-1.76,Raybow International Hotel
616,Gigmoto,PH,82.71,few clouds,13.78,124.39,Cj's Travellers Inn
623,Kirakira,SB,80.8,moderate rain,-10.45,161.92,SanBiz Lodge
624,Cabinda,AO,77.0,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
626,Mitsamiouli,KM,83.66,overcast clouds,-11.38,43.28,Foyer ADM
628,Umm Lajj,SA,78.19,broken clouds,25.02,37.27,Moon light Furnished Units
638,Cao Bang,VN,76.42,overcast clouds,22.67,106.25,khách sạn 88
640,Mecca,SA,79.68,clear sky,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
643,Mildura,AU,82.4,clear sky,-34.2,142.15,Mercure Hotel Mildura
656,Bowen,AU,80.6,broken clouds,-20.02,148.23,Castle Motor Lodge Motel
665,Sorong,ID,84.18,overcast clouds,-0.88,131.25,The Waigo Hotel
669,Sabang,ID,82.02,light rain,5.89,95.32,Hotel Citra
671,Bubaque,GW,77.67,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
676,Kununurra,AU,84.2,light rain,-15.77,128.73,Hotel Kununurra
679,Magadi,IN,80.6,scattered clouds,12.97,77.23,Mindri of Magadi
692,Grand-Lahou,CI,78.91,scattered clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
